"front","back","type"
"[单选题] 1、使用 Docker 部署的 OceanBase 集群可以作为MetaDB，OceanBase哪些产品线会把元数据库建在部署的这套产品需要MetaDB?
A、OCP
B、OBProxy
C、OAT
D、OMS","答案：A。
解析：OCP 在部署时需要一个后台数据库（MetaDB）来存储集群管理、监控指标和告警等元数据信息。","单选题"
"[单选题] 6、关于 OceanBase 的核心技术，下列说法错误的是：
A. OceanBase 采用分布式架构实现了节点的高可用，数据在分布式的集群间会自动备份。
B. OceanBase 具有极高压缩比...
C. OceanBase 分布式能够提供机房级高可用...
D. OceanBase 支持 HTAP 混合负载...","答案：B（或A）。
解析：底层是基于 Paxos 的多副本强同步，而非传统意义的备份。此外单机分布式一体化使得成本更低。标准题库通常选A或指出压缩比相关描述错误。","单选题"
"[单选题] 7、关于 OceanBase 的产品体系，下列说法错误的是：
A. OMS 为 OceanBase 提供数据同步工具...
B. OMA 为 OceanBase 数据库提供数据迁移评估工具，可以实现一站式数据库迁移。
C. OCP 为 OceanBase 提供运维管理平台工具。
D. OAS 为 OceanBase 提供自动调优服务工具。","答案：B。
解析：OMA 主要是“迁移评估工具”；“一站式数据库迁移”功能是由 OMS 负责执行的。","单选题"
"[单选题] 8、关于 OceanBase 的核心特点，下列说法错误的是：
A. OceanBase 既然为大型核心业务系统设计，那么就不适合小微型企业使用。
B. OceanBase 分布式数据库提供横向弹性扩展...
C. OceanBase 分布式能够兼容 MySQL 和 Oracle...
D. OceanBase 分布式数据库要做到数据多副本，所以对存储成本非常高。","答案：A 或 D（通常选D或多选）。
解析：OceanBase 单机分布式一体化支持小微企业低成本起步。且基于 LSM-Tree，数据压缩比极高，多副本不仅没推高成本，反而降低了总存储成本。","单选题"
"[单选题] 9、关系型数据库的发展经历了巨变，下列说法错误的是：
A 从集中式走向分布式...
B 与集中式数据库相比，分布式数据库主要关注的是更高的扩展性，而在高可用能力上没有特别的优势。
C 使用分布式架构的分布式数据库系统能很好地处理复杂 SQL 查询和分析。
D 原生分布式数据库不同于分布式中间件...","答案：B。
解析：分布式数据库不仅关注高扩展性，其核心优势之一就是利用 Paxos 等协议提供了比集中式（主备复制）更强的高可用能力（RPO=0，秒级 RTO）。","单选题"
"[单选题] 6、假设一个集群有3个 Zone，每个 Zone 有5台 OBServer，那么一个日志流在这个集群中全部的副本数是几个？
A. 3 B. 5 C. 8 D. 15","答案：A。
解析：OceanBase 的数据副本是跨 Zone 分布的，通常一个 Zone 包含一个副本，用于容灾。因此 3 个 Zone 就是 3 个副本。","单选题"
"[单选题] 7、假设一个集群有3个 Zone，每个 Zone 有5台 OBServer，创建一个租户的资源池 Unit Num=3，该租户在集群中多少个节点上有该租户的资源单元？
A. 3 B. 5 C. 9 D. 15","答案：C。
解析：Unit Num=3 表示该租户在每个 Zone 内部分配 3 个资源单元（Unit）。集群共 3 个 Zone，总计在 3 * 3 = 9 个节点上分配了资源。","单选题"
"[单选题] 8、OceanBase 没有实现以下哪种资源的租户隔离？
A. CPU B. 内存 C. IOPS D. 网络带宽","答案：D。
解析：OceanBase 实现了租户级的 CPU 和 内存严格物理隔离，并支持部分的 IOPS 隔离，但目前尚未实现严格的网络带宽隔离。","单选题"
"[单选题] 9、RootService 是 OceanBase 的总控服务，以下哪个不是 RootService 的功能？
A. 资源管理 B.路由管理 C. 负载均衡 D. Schema 管理","答案：B。
解析：路由管理由 ODP (OBProxy) 负责，它负责解析 SQL 并将其路由到正确的 OBServer。RootService 负责集群全局资源、负载均衡和 Schema 等。","单选题"
"[单选题] 10、关于总控服务，以下哪个说法是错误的？
A. 总控服务在所有全能副本和日志副本中通过 Paxos 协议选举产生。
B. 没有 MemTable 和 SSTable，资源占用很小。
C. 如果总控服务发生宕机，集群会自动重新选举出 Leader 提供服务。
D. 如果集群全部节点宕机，重启时总控服务需要人工介入才能恢复。","答案：D。
解析：集群全部节点宕机后重启，只要有多数派节点存活并启动，Paxos 协议就会自动恢复 RootService Leader 选举，不需要人工干预。","单选题"
"[单选题] 11、关于 OceanBase V4日志流的副本类型，下列说法正确的是。
A. 副本类型目前分为全能副本和日志副本。
B. 全能副本可读写，日志副本只读。
C. Leader 副本可读写，全能副本的 Follower 只能读，日志副本不能读。
D. 一个5副本集群，只要日志流3副本强同步，就可5副本强同步。","答案：A。
解析：在 OceanBase V4 架构中，副本类型被精简为主流的全能副本（包含日志和数据，可选举可读写）和日志副本（仅日志，可选举，不提供数据读取）。","单选题"
"[单选题] 12、关于 OceanBase V4 的负载均衡机制，下列说法正确的是。
A. 用户指定其所在的 OBServer 节点位置。
B. 用户可以通过表组（Tablegroup）来影响负载均衡...
C. 自动负载均衡会将 Partition 均匀打散到 Zone 内所有 OBServer。
D. 自动负载均衡会将 Leader 均匀打散到指定 Primary Zone。","答案：B。
解析：表组 (Tablegroup) 允许用户将经常做 Join 操作的表分区绑定在一起，确保它们在系统自动负载均衡时被调度到同一个节点，以减少跨节点网络开销。","单选题"
"[单选题] 6、OceanBase数据库通过什么机制来保证分布式事务在并发执行时不会读到不一致的数据？
A. MVCC B. 两阶段提交 C. 锁机制 D. 全局时间戳","答案：A。
解析：OceanBase 使用多版本并发控制 (MVCC) 机制来保证并发事务读取到一致的快照数据，实现读写互不阻塞。全局时间戳提供一致的版本号。","单选题"
