题号,题目(正面),答案(背面),题型
1,"关于使用LOAD DATA命令，下列说法错误的是： A、客户端使用OBProxy连接数据库执行LOAD DATA命令,把OceanBase集群中一台OBServer节点上的csv文件导入到数据库中。 B、使用LOAD DATA命令前,需要授予该文件给数据库的读取权限。 C、LOAD DATA支持本地路径和远程路径两种方式。 D、LOAD DATA使用本地路径时,需要指定direct 关键字的Hint","正确答案：A、D

官方解析
选项 A：错误（应选）
官方规则：当导入的数据文件存放在 OceanBase 集群中的某台 OBServer 节点上（服务端文件）时，客户端必须直连该文件所在的 OBServer 节点，不能通过 OBProxy 连接。
原因分析：OBProxy 具有分布式路由和负载均衡机制，如果通过 OBProxy 执行 LOAD DATA 命令，请求可能会被随机/按策略路由到集群内的其他 OBServer 节点，而其他节点本地并不存在该文件，从而报错“文件不存在”。

选项 B：正确（不选）
官方规则：导入文件前，在操作系统层面必须确保运行 OceanBase 进程的操作用户（通常为 admin 用户）对该数据文件具有 读取权限（Read Permission）；同时在数据库内需具备对应的权限及配置 secure_file_priv。

选项 C：正确（不选）
官方规则：OceanBase 的 LOAD DATA 支持多种文件路径模式：
本地路径：包括 OBServer 本地服务端文件路径及客户端本地文件路径（LOAD DATA LOCAL INFILE）。
远程路径：支持直接从对象存储（如阿里云 OSS、腾讯云 COS、AWS S3 等）或远程文件系统进行数据加载。

选项 D：错误（应选）
官方规则：使用本地路径执行普通的 LOAD DATA 命令时，不需要强制指定 /*+ direct */ Hint。
原因分析：/*+ direct */ Hint 是用于开启旁路导入（Direct Load）功能的提示，属于性能优化选项，而非必需语法。

考点总结
连接方式：导入服务端节点本地文件 -> 直连 OBServer（切记避开 OBProxy）。
安全参数：服务端导入必须设置租户系统变量 secure_file_priv 控制文件访问目录。
性能优化：旁路导入需配合 /*+ direct(true, ...) */ 或 /*+ append */ Hint 使用。",多选题
2,关于 OceanBase V4 的负载均衡机制，下列说法正确的是。 A. 用户指定其所在的 OBServer 节点位置。 B. 用户可以使用表组（Tablegroup）来影响负载均衡，让业务上有关联关系的 Table、Partition 在物理分布上有亲和性，从而减少分布式的访问开销。 C. 自动负载均衡会将 Partition 均匀打散到 Zone 内所有 OBServer。 D. 自动负载均衡会将 Leader 均匀打散到指定 Primary Zone。,"正确答案：B、C、D

官方解析
选项 A：错误（不选）
官方规则：OceanBase 的负载均衡是系统全自动调度的，用户在创建 Database、Table、Partition 时不能直接指定其具体存放在哪个 OBServer 节点上。

选项 B：正确（应选）
官方规则：表组（Tablegroup）是一种将相关表聚合在一起以维持物理亲和性的机制。将有业务关联的表归入同一个 Tablegroup 后，OceanBase 会尽量将它们分配到相同的 OBServer 上，使得跨表事务或关联查询转化为本地执行。

选项 C：正确（应选）
官方规则：OceanBase 的自动负载均衡机制会根据数据分区的数量与大小，在同一个 Zone 内的所有 OBServer 之间进行均衡打散分布。

选项 D：正确（应选）
官方规则：对于指定了 Primary Zone 的租户/库/表，系统会自动将分区的 Leader 副本均匀分布到配置的 Primary Zone 节点内，从而均衡读写请求的负载。",多选题
3,关于数据库的发展与架构演变，以下说法错误的是（  ）  A 从集中式走向分布式，一个主要原因是为了突破单机性能的瓶颈。  B 与集中式数据库相比，分布式数据库的主要优势是更高的并发处理能力，在高可用能力上没有特别的优势。  C 使用分布式中间件的分布式数据库系统可以很好地处理跨库的SQL查询和事务。  D 原生分布式数据库不依赖分布式中间件，提供透明的扩展能力。,"正确答案：B、C

官方解析
选项 A：正确（不选）
架构演进背景：集中式单机数据库受限于单台服务器的硬件上限，从集中式走向分布式主要诉求之一就是通过横向扩展突破单机性能与容量瓶颈。

选项 B：错误（应选）
官方规则与原理：分布式数据库不仅提供高并发与横向扩展能力，高可用容灾能力同样是其核心优势。基于 Paxos/Raft 等多数派共识协议实现 RPO=0、RTO<8s，相比集中式主备具有巨大优势。

选项 C：错误（应选）
官方规则与原理：基于分库分表中间件的方案无法很好地处理跨库关联查询与跨库分布式事务，在遇到跨库 Join、跨库聚合排序以及跨节点强一致事务时代价极高。

选项 D：正确（不选）
官方规则与原理：原生分布式数据库采用一体化内核设计，对上层应用提供透明的扩展与标准的 SQL 访问接口。",多选题
4,关于 OceanBase 的核心特点，以下说法错误的是（  ）  A. OceanBase 天然为超大规模业务处理系统而生，不适合小微客户使用。  B. OceanBase 分布式数据库提供了线性扩展的高并发能力，可以支持每秒数千万的业务处理能力。  C. OceanBase 分布式架构兼容 MySQL 和 Oracle 数据库，可以方便地从 MySQL 和 Oracle 数据库搬迁应用与数据到 OceanBase 数据库。  D. OceanBase 分布式数据库要保留多个数据副本，因此存储成本很高。,"正确答案：A、D

官方解析
选项 A：错误（应选）
官方规则与定位：OceanBase 具备单机分布式一体化架构（自 V4.0 起最小支持 4 核 16GB 甚至单机部署规格），既能支撑超大规模业务，也能以极低成本支持中小微企业。

选项 B：正确（不选）
官方规则与特性：基于 Shared-Nothing 架构具备线性水平扩展能力，曾两次刷新 TPC-C 性能测试世界纪录。

选项 C：正确（不选）
官方规则与特性：原生多租户提供高度兼容的 MySQL 模式与 Oracle 模式。

选项 D：错误（应选）
官方规则与存储引擎：LSM-Tree 存储架构无数据碎片，配合高级行列混合编码与通用压缩，实现 3~5 倍高压缩率，即使保存 3 副本综合存储成本依然显著低于传统单机单副本数据库。",多选题
5,使用 Docker 部署的 OceanBase 集群可以作为MetaDB，OceanBase哪些产品线会把元数据库建在部署的这套产品需要MetaDB? A、OCP B、OBProxy C、OAT D、OMS,"正确答案：A、D

官方解析
选项 A：OCP（OceanBase Cloud Platform）—— 正确（应选）
OCP 管理的所有集群元数据、主机信息、监控告警配置以及运维任务流等，都必须存储在专用的 OCP-MetaDB 租户中。

选项 B：OBProxy —— 错误（不选）
OBProxy 是纯无状态的代理路由组件，不需要任何 MetaDB。

选项 C：OAT —— 错误（不选）
OAT 自身使用本地轻量级配置，不需要依赖外部 MetaDB。

选项 D：OMS（OceanBase Migration Service）—— 正确（应选）
部署 OMS 时必须指定元数据库（OMS-MetaDB）用于持久化保存迁移项目配置、链路运行状态及校验进度等元数据。",多选题
6,在OceanBase数据库中，关于转储和合并的说法，下面哪些是正确的？ A. 转储是将MemTable中的数据写到SSTable中的过程。 B. 合并是将多个SSTable以及当前数据进行归并，形成新的基线SSTable的过程。 C. 转储不仅可以手动触发，也可以由系统自动触发。 D. 合并过程可以节省磁盘空间的使用，因为会删除失效的旧版本数据。,"正确答案：A、B、C、D

官方解析
选项 A：正确（应选）
转储（Minor Compaction）是将内存中已冻结的 MemTable 数据持久化写入磁盘生成转储 SSTable 的过程，释放内存空间。

选项 B：正确（应选）
合并（Major Compaction）是将基线 SSTable、增量 SSTable 以及当前最新数据多路归并排序生成全新静态基线 SSTable 的过程。

选项 C：正确（应选）
转储支持内存水位阈值（freeze_trigger_percentage）自动触发，也支持管理员执行命令手动触发。

选项 D：正确（应选）
大合并过程中系统对全局多版本数据进行物理垃圾清理，消除过期的旧版本数据和删除标记，并重新进行深度编码与二次压缩，显著回收并节省磁盘空间。",多选题
7,在OceanBase数据库支持的隔离级别中，包含哪些？ A. 读未提交 B. 串行化 C. 重复读 D. 读已提交,"正确答案：B、C、D

官方解析
选项 A：读未提交（Read Uncommitted）—— 错误（不选）
OceanBase 不支持读未提交（Read Uncommitted），默认杜绝脏读。

选项 B：串行化（Serializable）—— 正确（应选）
MySQL 模式和 Oracle 模式均原生支持串行化隔离级别。

选项 C：重复读（Repeatable Read）—— 正确（应选）
MySQL 模式下完全支持可重复读（Repeatable Read）隔离级别。

选项 D：读已提交（Read Committed）—— 正确（应选）
MySQL 模式和 Oracle 模式均支持读已提交（Read Committed），且为两者的默认隔离级别。",多选题
8,OceanBase数据库的事务具备哪些特性？ A. 原子性 B. 一致性 C. 隔离性 D. 持久性,"正确答案：A、B、C、D

官方解析
OceanBase 完全支持关系型数据库标准的 ACID 事务四大核心特性：
A. 原子性（Atomicity）：跨节点事务通过两阶段提交协议（2PC）保障全部成功或全部回滚。
B. 一致性（Consistency）：保证数据从一个一致状态转换到另一个一致状态，满足完整性约束。
C. 隔离性（Isolation）：基于 MVCC + 行级排他锁 + 全局时间戳服务（GTS）保障隔离性。
D. 持久性（Durability）：基于 Multi-Paxos 多数派共识协议同步事务日志（Clog）并持久化，保证 RPO=0。",多选题
9,OceanBase数据库通过哪些机制来保证多个事务的并发执行？ A. 一致性算法 B. MVCC C. 隔离级别 D. 锁,"正确答案：B、C、D

官方解析
选项 A：一致性算法（Paxos）—— 错误（不选）
Paxos 协议主要用于多副本事务日志同步、高可用容灾与选主，非单机/跨机事务并发控制机制。

选项 B：MVCC（多版本并发控制）—— 正确（应选）
解决读-写并发冲突，实现读不阻塞写、写不阻塞读。

选项 C：隔离级别（Isolation Level）—— 正确（应选）
规范多事务并发交叉执行时的数据可见性与隔离行为。

选项 D：锁（Locking Mechanism）—— 正确（应选）
解决写-写并发冲突，通过行级排他锁与锁等待队列保证并发写安全。",多选题
10,OceanBase数据库支持的分区类型包含以下哪些？ A、Range分区 B、List分区 C、Hash分区 D、Key分区,"正确答案：A、B、C、D

官方解析
OceanBase 支持完整的一级分区与二级组合分区类型：
A. Range 分区：按连续范围区间划分（常用于时间与连续数值范围归档）。
B. List 分区：按离散枚举值集合划分（常用于固定业务分类/省份等）。
C. Hash 分区：按自定义表达式 Hash 打散。
D. Key 分区：MySQL 模式下支持系统内置 Hash 算法的 Key 分区，支持对非整型字段分区。",多选题
