题号,题目(正面),答案(背面),题型
1,以下哪项不属于OceanBase数据库内核暴露的管理接口？ A. OCP 管理控制台 B. 内部系统表（如 __all_xxx） C. 内部系统视图（如 GV$xxx） D. 各种 DDL 管理命令,"正确答案：A

官方解析
选项 A：OCP 管理控制台 —— 不属于（应选）
产品定位：OCP（OceanBase Cloud Platform）是 OceanBase 的外部企业级运维管控平台，属于生态工具层，是独立于数据库内核运行的 Web 应用系统。

调用关系：OCP 本身是管理接口的使用方，它正是通过底层的 SQL 命令、系统视图、系统表等内核接口来采集数据和下发管理指令的，因此 OCP 本身不属于内核暴露的管理接口。

选项 B：内部系统表（如 __all_xxx）—— 属于（不选）
内核接口定义：__all_xxx 系列表是 OceanBase 内核自带的底层元数据表（如 __all_tenant、__all_server、__all_zone 等），由集群内核的 RootServer/Sys 租户维护，直接暴露给管理员用于查看和排查最底层的元数据状态。

选项 C：内部系统视图（如 GV$xxx / V$xxx）—— 属于（不选）
内核接口定义：GV$xxx（全局动态性能视图）和 V$xxx（节点级动态性能视图）是 OceanBase 内核通过虚拟表机制对外暴露的标准监控与诊断接口（如 GV$OB_SERVERS、GV$OB_PARAMETERS 等），用户可通过标准 SQL 实时查询集群的运行指标和内部状态。

选项 D：各种 DDL 管理命令 —— 属于（不选）
内核接口定义：OceanBase 内核通过 SQL 引擎原生支持大量的管控类 DDL/管理语句（例如 ALTER SYSTEM BOOTSTRAP、ALTER SYSTEM ADD SERVER ...、ALTER SYSTEM MINOR FREEZE、CREATE TENANT ... 等），这是内核最标准、最核心的管理指令接口。

考点总结
OceanBase 内核暴露的管理接口（SQL 级）：
管理/运维类 SQL 命令（如 ALTER SYSTEM ... 等集群管理 DDL）。
系统表与内部表（如 __all_server、__all_tenant 等）。
动态性能视图（如 GV$xxx、V$xxx、DBA_xxx 等）。
外部运维与生态组件（非内核暴露接口）：
OCP（云平台管理管控平台）
OAT（自动化部署工具）
OBD（开源安装部署工具）",单选题
2,关于 OceanBase 的核心技术，以下说法错误的是（ ）  A. OceanBase 依赖分布式中间件实现了在单机数据库上的分布式访问和事务处理。  B. OceanBase 自研的高压缩技术平衡了“性能”和“压缩”的瓶颈，既能大幅压缩数据，减少磁盘空间占用，又不会造成较大的性能负担。  C. OceanBase 分布式架构提供了极致高可用能力，在少数节点故障时可以保证数据领丢失（RPO=0），对业务的影响时间极短（RTO<8s）。  D. OceanBase 支持 HTAP 混合负载，通过多租户的资源隔离来保证不同类型的租户间互不干扰，同时通过多副本技术让一份数据既能做事务处理又能实时分析。,"正确答案：A
详细解析
 A 项说法错误（符合题意）：
OceanBase 是一款原生分布式数据库（Native Distributed Database），底层采用 Shared-Nothing（无共享）架构完全自主研发，其分布式路由、分布式事务、数据分片及 Paxos 一致性共识协议均在内核引擎层原生实现，并不依赖任何分库分表的分布式中间件在单机数据库上做拼装。
 B 项说法正确：
OceanBase 基于准内存（LSM-tree）架构设计了独有的分层存储与行列混存压缩技术，在基线数据持久化时结合了高压缩率的字典、前缀等编码及通用压缩算法，既大幅降低了存储成本，又通过内存解压优化保障了读取性能。
 C 项说法正确：
OceanBase 采用基于 Paxos 协议的多副本多数派机制，当集群中少数派节点发生物理故障时，多数派副本能自动选主接管业务，保证数据零丢失（RPO = 0），故障切换时间极短（RTO < 8s）。
 D 项说法正确：
OceanBase 原生具备 HTAP（混合事务/分析处理）能力，基于原生多租户架构在 CPU、内存、I/O 等维度进行物理级资源隔离，结合多副本强一致特性，可在保证 OLTP 业务高性能低时延的同时，支持只读副本或分析型引擎进行高并发实时 OLAP 分析。",单选题
3,关于 OceanBase 的产品体系，以下说法错误的是（ ）  A. OMS 是 OceanBase 提供的数据同步工具，可以把其他数据库的数据同步到OceanBase 数据库中，比如将 Oracle 数据库的数据同步到 OceanBase 的 Oracle 租户。  B. OMA 是 OceanBase 数据库提供的数据迁移与评估工具，可以实现一键式的数据库迁移。  C. OCP 是 OceanBase 提供的云平台管理工具，可以将多个 OceanBase 集群统一纳管到一个 OCP 中进行管理、监控。  D. OAS 是 OceanBase 提供的自治服务工具，可以提供自动化的优化建议和智能化的故障诊断能力。,"正确答案：B

详细解析
B 项说法错误（符合题意）：
OMA（OceanBase Migration Assessment） 是 OceanBase 的迁移评估工具，主要用于迁移前对源端数据库进行对象兼容性评估、SQL 语法改写建议、应用负载回放及性能评估等，它本身并不负责执行具体的数据迁移。负责实现一站式、全生命周期数据迁移与同步的工具是 OMS（OceanBase Migration Service）。
A 项说法正确：
OMS（OceanBase Migration Service） 是 OceanBase 提供的数据传输/迁移与同步服务，支持异构数据库（如 Oracle、MySQL、PostgreSQL 等）向 OceanBase 数据库的数据迁移与实时同步。
C 项说法正确：
OCP（OceanBase Cloud Platform） 是企业级云平台运维管控工具，支持对多个 OceanBase 集群进行全生命周期的集中纳管、监控告警、性能诊断与自动化运维。
D 项说法正确：
OAS（OceanBase Autonomous Service） 是 OceanBase 提供的数据库自治服务工具，依托机器学习与专家经验，提供智能故障根因分析、容量预测、慢 SQL 诊断及自动化调优建议等自治能力。",单选题
4,假设一个集群有3个 Zone，每个 Zone 有5台 OBServer，那么一个日志流在这个集群中全部的副本数是几个？ A. 3 B. 5 C. 8 D. 15,"正确答案：A

详细解析
在 OceanBase 数据库的架构设计中，日志流（Log Stream）与副本（Replica）、Zone 之间的分布规则如下：
Paxos 副本的 Zone 分布原则：
为了实现跨机房/跨可用区的容灾高可用能力，对于同一个日志流而言，在一个 Zone 内最多只能存在 1 个 Paxos 副本（全功能副本 F / 日志型副本 L）。
本题分析：
虽然每个 Zone 拥有 5 台 OBServer，但同一个 Zone 内同一日志流不会放置多个 Paxos 成员副本（全功能副本），以避免单 Zone 故障导致多个多数派选票丢失。
因此，该集群一共有 3 个 Zone，该日志流在每个 Zone 最多放置 1 份全功能副本，总共最多拥有 3 份全功能副本（即常见的 3 副本分布：F@zone1, F@zone2, F@zone3）。",单选题
5,假设一个集群有3个 Zone，每个 Zone 有5台 OBServer，创建一个租户的资源池 Unit Num=3，该租户在集群中多少个节点上有该租户的资源单元？ A. 3 B. 5 C. 9 D. 15,"正确答案：C

详细解析
在 OceanBase 的多租户资源分配模型中：
UNIT_NUM 的定义：
资源池中的 UNIT_NUM 参数表示在每个 Zone 内所分配的资源单元（Resource Unit）的数量。
服务器与 Unit 的约束规则：
同一租户在同一台 OBServer 节点上最多只能容纳 1 个资源单元（Unit）。当 UNIT_NUM = 3 时，意味着该租户在对应的每个 Zone 内都会占用 3 台独立的 OBServer 服务器。
总量计算：
集群包含的 Zone 数：3 个
每个 Zone 内占用的 OBServer 数量：3 台
该集群中分配有该租户资源单元的服务器总数：
Zone 数量 × UNIT_NUM = 3 × 3 = 9 台",单选题
6,OceanBase 没有实现以下哪种资源的租户隔离？ A. CPU B. 内存 C. IOPS D. 数据磁盘,"正确答案：D

详细解析
OceanBase 的多租户架构实现了计算与内存等多维度的资源隔离，但不能实现物理数据磁盘层面的租户间隔离：
A 项（CPU 资源）：可以实现隔离。通过配置 Resource Unit 的 MIN_CPU 和 MAX_CPU，结合内部独立的租户工作线程池以及 Linux 系统的 cgroup 机制精确控制。
B 项（内存资源）：可以实现严格隔离。通过 Resource Unit 中的 MEMORY_SIZE 为每个租户划分独立的内存空间，严格隔离、互不借用与争抢。
C 项（IOPS / 磁盘 I/O）：可以实现隔离。支持通过配置 MIN_IOPS、MAX_IOPS、IOPS_WEIGHT 进行限速与优先级隔离。
D 项（数据磁盘）：不能实现隔离（符合题意）。在单台 OBServer 节点上，所有驻留在该节点的租户共享同一块物理数据磁盘及同一个底层数据存储文件（block_file），无法做到租户间的物理磁盘隔离。",单选题
7,RootService 是 OceanBase 的总控服务，以下哪个不是 RootService 的功能？ A. 资源管理 B.路由管理 C. 负载均衡 D. Schema 管理,"正确答案：B

详细解析
RootService（简称 RS） 是 OceanBase 集群的总控服务，主要负责全局维度的集群管理、元数据管理与分布式协同调度：
B 项（路由管理）：不是 RootService 的功能（符合题意）
数据库访问的路由管理是由 OBProxy（以及 OBServer 内部的 SQL 路由转发层 Location Cache）负责的。客户端发送 SQL 时，OBProxy 会解析 SQL 并根据本地缓存的位置信息直接将请求精准路由到目标 Leader 节点所在的 OBServer 上，并不由 RootService 实时提供路由服务。
A 项（资源管理）：是 RootService 的核心功能，负责管理资源单元规格、分配 Unit、调度资源池等。
C 项（负载均衡）：是 RootService 的核心功能，通过自动触发 Unit 迁移、副本搬迁以及切主实现动态负载均衡。
D 项（Schema 管理）：是 RootService 的核心功能，负责处理全局 DDL 变更的多版本发布与广播。",单选题
8,关于总控服务，以下哪个说法是错误的？ A. 总控服务在所有全能副本和日志副本中通过 Paxos 协议选举产生。 B. 没有 MemTable 和 SSTable，资源占用很小。 C. 如果总控服务发生宕机，集群会自动重新选举出 Leader 提供服务。 D. 如果集群全部节点宕机，重启时总控服务需要人工介入才能恢复。,"正确答案：D

详细解析
D 项说法错误（符合题意）：
OceanBase 具备高可用与全自动自愈能力。当集群所有节点宕机后重新启动时，各 OBServer 会自动拉起底层进程，系统租户（sys 租户）的日志流副本通过 Paxos 协议自动重新组网、达成多数派共识并选出新的 Leader，随后新的 Leader 会自动拉起总控服务（RootService），整个恢复过程完全自动化，无需人工介入。
A 项说法正确：总控服务运行在系统租户的 Leader 节点上，依托 Paxos 协议在各可用副本中自动选举产生。
B 项说法正确：总控服务主要在内存中维护元数据及状态机，自身不读写业务数据的 MemTable/SSTable，资源占用极小。
C 项说法正确：若运行 RS 的节点故障，sys 租户多副本迅速触发 Paxos 重新选主并自动接管服务。",单选题
9,关于 OceanBase V4日志流的副本类型，下列说法正确的是。 A. 副本类型目前分为全能副本和日志副本。 B. 全能副本可读写，日志副本只读。 C. Leader 副本可读写，全能副本的 Follower 只能读，日志副本不能读。 D. 一个5副本集群，只要日志流3副本强同步，就可5副本强同步。,"正确答案：C

详细解析
在 OceanBase 4.x（V4）架构中，日志流（Log Stream）的副本属性与读写能力说明如下：
C 项说法正确（符合题意）：
Leader 副本（主副本）：作为 Paxos 组的领导者，拥有完整的数据（MemTable + SSTable）和事务日志，对外提供强一致性的读与写服务。
全能/全功能副本的 Follower（从副本）：包含完整的数据和日志，但不能直接处理事务写入，仅能对外提供弱一致性读（只读）。
日志型副本（Log Replica / L 副本）：仅同步并持久化 Paxos 日志（Clog）并参与多数派投票，不包含 MemTable 和 SSTable 业务数据，因此完全不能提供读服务。
A 项错误：副本体系还支持只读型副本（R 副本）等。
B 项错误：日志副本无物理数据，完全不能承载读请求。
D 项错误：5 副本集群达成多数派（3 副本同步）事务即可提交，其余 2 副本在后台异步推进同步。",单选题
10,OceanBase数据库通过什么机制来保证分布式事务在并发执行时不会读到不一致的数据？ A. MVCC B. 两阶段提交 C. 锁机制 D. 全局时间戳,"正确答案：A

详细解析
A 项（MVCC - 多版本并发控制）：核心机制
在并发读写场景下，为了防止事务读到中间态或脏数据（保证读一致性），OceanBase 采用 MVCC（Multi-Version Concurrency Control）。每个写操作都会生成带有版本号的新数据行，读操作则基于事务的快照版本号读取对应可见的历史版本，从而实现读写互不阻塞且保证读取到的始终是一致性快照视图。
D 项（全局时间戳 / GTS）：为分布式 MVCC 提供统一的时序基准。
B 项（两阶段提交 / 2PC）：主要用于保证分布式事务跨节点执行时的原子性（Atomicity）。
C 项（锁机制）：主要用于解决写-写并发冲突。",单选题
