"front","back","type"
"[多选题] 11、在OceanBase数据库中，关于转储和合并的说法，下面哪些是正确的？
A. 转储是将MemTable中的数据写到SSTable中的过程。
B. 合并是将多个SSTable以及当前数据进行归并，形成新的基线SSTable的过程。
C. 转储不仅可以手动触发，也可以由系统自动触发。
D. 合并过程可以节省磁盘空间的使用，因为会删除失效的旧版本数据。","答案：A、B、C、D。
解析：转储（Minor Freeze）是将内存数据落盘；合并（Major Freeze）是全局数据归并。两者均可自动或手动触发，合并会清理多版本旧数据释放空间。","多选题"
"[多选题] 12.在OceanBase数据库支持的隔离级别中，包含哪些？
A. 读未提交 B. 串行化 C. 重复读 D. 读已提交","答案：B、D。
解析：OceanBase 商业版主要支持“读已提交（Read Committed，默认级别）”和“可串行化（Serializable）”。","多选题"
"[多选题] 13、OceanBase数据库的事务具备哪些特性？
A. 原子性 B. 一致性 C. 隔离性 D. 持久性","答案：A、B、C、D。
解析：OceanBase 作为成熟的关系型数据库，完全符合事务的传统 ACID 四大特性。","多选题"
"[多选题] 15、OceanBase数据库通过哪些机制来保证多个事务的并发执行？
A. 一致性算法 B. MVCC C. 隔离级别 D. 锁","答案：B、C、D。
解析：并发控制（避免读写冲突、写写冲突）主要依赖多版本并发控制 (MVCC)、隔离级别配置以及行锁机制。一致性算法（Paxos）主要用于保证多副本数据高可用。","多选题"
"[多选题] 7、OceanBase数据库支持的分区类型包含以下哪些？
A、Range分区 B、List分区 C、Hash分区 D、Key分区","答案：A、B、C (以及 D)。
解析：OceanBase 支持主流的关系型数据库分区策略，包括 Range（范围）、List（列表）、Hash（哈希）以及 Key 等一级分区和各种二级分区组合。","多选题"
"[多选题] 8、关于表组（Tablegroup）说法正确的是：
A、将经常一起关联查询的表放入同一个表组，可以减少分布式事务。
B、分区表可以放入表组中，要求所有表的分区方式一致。
C、非分区表也可以放入表组中。
D、表组不能跨租户存在。","答案：A、B、C、D。
解析：表组是用于控制物理数据分布的逻辑概念。属于同表组的表或分区会被调度到同一个 OBServer 上，从而将分布式 JOIN 转换为本地 JOIN。","多选题"
"[多选题] 9、OceanBase数据库提供的导数工具包含：
A、OBLOADER
B、ODC
C、LOAD DATA
D、OBDUMPER","答案：A、B、D。
解析：OBLOADER 和 OBDUMPER 是专用的客户端导数/备份导出命令行工具；ODC 提供了图形化的导入导出功能；LOAD DATA 则是 SQL 语句，并非独立工具。","多选题"
"[多选题] 2、以下哪项不属于OceanBase数据库内核暴露的管理接口？
A. OCP 管理控制台
B. 内部系统表（如 __all_xxx）
C. 内部系统视图（如 GV$xxx）
D. 各种 DDL 管理命令","答案：A。
解析：OCP 属于外部生态工具层，并不属于“内核暴露”的接口；内核暴露的接口是指系统内部表、系统视图以及支持管理的 SQL 语句。","多选题"
"[多选题] 5、通过OCP对于OceanBase数据库SQL诊断可以完成以下哪些操作？
A. SQL改写
B. 查看SQL执行计划
C. SQL性能分析
D. SQL执行结果查看","答案：B、C。
解析：OCP 的 SQL 诊断主要用于排查慢 SQL、查看统计信息、执行耗时和历史执行计划等。SQL 的执行结果查看和主动改写通常是在 ODC 等开发工具中完成。","多选题"
"[多选题] 6、通过OCP管理OceanBase数据库集群扩容，包括以下哪些操作？
A. 增加Zone
B. 增加OBServer
C. 增加CPU硬件
D. 修改Zone","答案：A、B。
解析：OCP 扩容集群主要是逻辑和软件层面的横向扩展，例如往集群中新增 Zone，或在现有 Zone 中添加更多的 OBServer 节点。增加硬件不由 OCP 管理。","多选题"
"[多选题] 7、通过OCP管理租户资源扩容，包括以下哪些操作？
A. 调大Unit的CPU/Memory配置
B. 增加Zone
C. 增加OBServer
D. 增加租户的Unit数量 (Unit Num)","答案：A、D。
解析：租户扩容分纵向和横向：纵向是调大单个 Unit 的规格（Resource Unit），横向是增加 Unit 的数量（Unit Num）以利用更多节点资源。","多选题"
"[多选题] 8、OCP Agent包含以下哪些核心进程？
A. ocp_agentd
B. ocp_mgragent
C. ocp_proxy
D. ocp_monagent","答案：A、D。
解析：早期版本的 OCP Agent 主要包含负责监控数据采集的 monagent 和负责远程任务执行的 mgragent；后续演进中常统一为 ocp_agentd 等核心守护进程。","多选题"
"[多选题] 9、通过OCP可对主机进行哪些操作？
A. 安装OCP Agent
B. 重启主机服务
C. 停止主机服务
D. 删除主机","答案：A、B、C、D。
解析：OCP 具有主机管理能力，支持将物理机加入资源池，在上面安装 Agent，并在不需要时停用或移除主机。","多选题"
"[多选题] 10、通过OCP可对租户进行哪些操作？
A. 创建新租户
B. 租户资源扩缩容
C. 删除租户
D. 查看租户监控拓扑","答案：A、B、C、D。
解析：OCP 是白屏化运维的核心，租户的全生命周期管理（创建、删除、监控、扩容、参数修改）均可在其上完成。","多选题"
"[多选题] 14、系统内置视图oceanbase.gv$OB_SQL_AUDIT包含以下哪些信息?
A.SQL类型及执行次数
B.SQL的执行计划
C.等待的时间及次数
D.执行统计信息","答案：A、C、D。
解析：gv$OB_SQL_AUDIT 记录了 SQL 审计信息，但不包含具体的逻辑/物理执行计划（需通过 explain 或 plan cache 视图查看）。","多选题"
"[多选题] 16、关于SHARDING模式为PARTITION和TABLEGROUP,下列说法正确的是：
A、要求表组内所有表的分区方式必须相同
B、要求表组内所有表的分区数量必须相同
C、表组内所有表的分区会聚集在相同的OBserver节点上
D、如果不将表放在一个表组里，即使全都是单表查询,也是一个跨机事务","答案：A、C。
解析：加入 Tablegroup 的表必须有相同的分区策略（包括分区类型、分区数等），系统会将对应分区调度到相同节点以实现本地关联（Local Join）。","多选题"
"[多选题] 19、以下哪些是 OceanBase 的架构特性?
A 原生分布式架构
B 存储分布式一体化
C 支持多租户架构
D 能很好聚成 OLAP 和 OLTP 执行引擎","答案：A、B、C、D。
解析：OceanBase 是原生分布式架构，支持多租户隔离，且是 HTAP 数据库，能同时处理 OLTP 和 OLAP 负载。","多选题"
"[多选题] 20、以下哪些是OceanBase分布式数据库的优势?
A 数据不丢失
B 自动故障恢复
C 高性价比
D 支持超大规模业务集群","答案：A、B、C、D。
解析：基于 Paxos 的 RPO=0 数据不丢失和 RTO秒级恢复；通过极高压缩比和普通PC服务器带来高性价比；原生分布式架构支持超大规模集群扩展。","多选题"
"[多选题] 21、在OceanBase V4 版本,租户的类型包含哪些?
A 临时租户
B 用户租户
C Meta租户
D 系统租户","答案：B、C、D。
解析：V4 版本中，每个用户租户会自动配套一个 Meta 租户存放自身元数据，加上系统租户，主要为这三大类。","多选题"
"[多选题] 23、OceanBase数据库的多租户架构主要实现了哪些隔离?
A 资源隔离
B 数据隔离
C 权限和权限管理
D 操作系统隔离","答案：A、B、C。
解析：多租户在数据库内部实现了严格的资源、数据和权限隔离，但并没有做到 OS 操作系统级别的虚拟化隔离（如容器/虚拟机）。","多选题"
"[多选题] 24、以下哪个选项是OceanBase数据库SQL引擎的特性?
A 支持标准 SQL 语法
B 高度兼容 MySQL和Oracle 数据库
C 提供分布式事务服务
D 支持在线DDL操作","答案：A、B、D。
解析：分布式事务服务是由“事务引擎”负责的，而 SQL 引擎主要负责 SQL 的解析、优化（执行计划生成）和执行调度。有些题目将C也列为特性，但严格上C属于事务引擎。","多选题"
"[多选题] 25、在OceanBase数据库中,关于转储和合并的说法,下面哪些是正确的?
A 转储是将MemTable中的数据写入到磁盘的过程
B 合并是将当前数据及生成的多个级别的ssTable数据进行归并,形成新的基线SSTable的过程
C 转储由系统自动触发,并在集群统一执行;
D 合并只能手动触发,无法自动触发,并在集群统一执行","答案：A、B。
解析：转储是单节点行为，将内存数据落盘；合并是全局行为。二者都可以自动或手动触发。","多选题"
"[多选题] 26、OceanBase数据库使用LSM Tree作为存储结构能带来哪些好处?
A、能够对数据加密,保证数据安全
B、能够将随机写转为顺序写,从而保护SSD硬盘的寿命
C、数据更新及插入在内存中,通过批量转储和合并等操作顺序写入磁盘,提高写操作性能
D使用 Key-Value 的存储结构,能够很好的支持压缩,提供高压缩比,节约存储成本","答案：B、C、D。
解析：LSM-Tree 核心优势在于化随机写为顺序写、极高压缩比和优秀的写入性能。加密是透明加密 (TDE) 功能，非 LSM-Tree 直接带来的好处。","多选题"
"[多选题] 27、通常可以通过哪些方式来安装OceanBase数据库?
A. OBD命令行安装
B. 通过OCP安装
C. 源码编译部署
D. 通过 ob-operator 在 Kubernetes 容器中部署","答案：A、B、D。
解析：OceanBase 提供了 OBD 本地部署、OCP 白屏化部署以及 Kubernetes 容器化部署（ob-operator）。","多选题"
"[多选题] 28、OBServer节点的默认工作目录为/home/admin/oceanbase,关于该目录说明正确的是：
A. log 目录内存放着所有的运行日志
B. etc 目录内有集群配置文件
C. audit 目录存放着审计日志
D. bin 目录存放着 observer binary 文件","答案：A、B、D。
解析：OceanBase 的日志默认在 log 目录，配置在 etc 目录，二进制程序在 bin 目录。没有专门名为 audit 的系统默认目录（审计日志通常在 log 目录下）。","多选题"
"[多选题] 29、在 OceanBase 数据库中,关于主键约束哪些是正确的?
A 允许存在空值,但不允许空值唯一
B 必须保证全局唯一
C OceanBase会自动为主键创建唯一索引
D 如果没有主键,数据按照插入顺序存储","答案：B、C。
解析：主键必须全局唯一且非空；系统会自动为其创建唯一索引。如果不显式定义主键，OceanBase 会隐式创建一个隐藏的主键（类似 rowid）。","多选题"
